loma,hormat ka sorangan,hormat ka batur,kecap
akang,akang,engkang,Gaganti ngaran
kuring,abdi,,Gaganti ngaran
kuring sarerea,abdi sadayana,,Gaganti ngaran
pribadi,pribados,ku anjeun,Gaganti ngaran
sorangan,sorangan,nyalira,Gaganti ngaran
adi,pun adi,tuang rai,Pancakaki
aki,pun aki,tuang eyang,Pancakaki
alo,pun alo,kapiputra,Pancakaki
anak,pun anak,tuang putra,Pancakaki
bapa,pun bapa,tuang rama,Pancakaki
baraya,rerehan,wargi,Pancakaki
bibi,pun bibi,tuang ibu,Pancakaki
budak,budak,murangkalih,Pancakaki
cikal,anak cikal,putra pangageungna,Pancakaki
deungeun deungeun,nu sanes,nu sanes,Pancakaki
incu,pun incu,tuang putu,Pancakaki
indung,pun biang,tuang ibu,Pancakaki
kolot,kolot,sepuh,Pancakaki
lanceuk,pun lanceuk,tuang raka,Pancakaki
minantu,minantu,mantu,Pancakaki
mitoha,mertua,mertua,Pancakaki
nini,pun nini,tuang eyang,Pancakaki
pamajikan,pun bojo,tuang rai,Pancakaki
paman,pun paman,tuang rama,Pancakaki
salaki,pun lanceuk,caroge,Pancakaki
tere,tere,kawalon,Pancakaki
awak,badan,salira,Babagian awak
beuheung,beuheung,tenggek,Babagian awak
beungeut,beungeut,raray,Babagian awak
beuteung,beuteung,patuangan,Babagian awak
bujur,bujur,imbit,Babagian awak
bitis,bitis,wentis,Babagian awak
biwir,biwir,lambey,Babagian awak
bujal,bujal,udel,Babagian awak
buuk,buuk,rambut,Babagian awak
cangkeng,cangkeng,angkeng,Babagian awak
ceuli,ceuli,cepil,Babagian awak
diri,diri,salira,Babagian awak
dubur,dubur,palawangan,Babagian awak
gado,gado,angkeut,Babagian awak
halis,halis,kening,Babagian awak
hate,hate,manah,Babagian awak
huntu,huntu,waos,Babagian awak
irung,irung,pangambung,Babagian awak
kanyeri,kanyeri,kasawat,Babagian awak
kelek,kelek,ingkab,Babagian awak
kuku,kuku,tanggay,Babagian awak
kumis,kumis,rumbah,Babagian awak
leho,leho,umbel,Babagian awak
letah,letah,ilat,Babagian awak
leungeun,leungeun,panangan,Babagian awak
panon,panon,soca,Babagian awak
pianakan,pianakan,wewetengan,Babagian awak
pingping,pingping,paha,Babagian awak
pipi,pipi,damis,Babagian awak
ramo,ramo,rema,Babagian awak
sirah,sirah,mastaka,Babagian awak
sirit,larangan,larangan,Babagian awak
sora,sora,soanten,Babagian awak
suku,suku,sampean,Babagian awak
sungut,cangkem,baham,Babagian awak
susu awewe,susu awewe,pinareup,Babagian awak
taktak,taktak,taraju,Babagian awak
tarang,tarang,taar,Babagian awak
tonggong,tonggong,pungkur,Babagian awak
tuur,tuur,deku,Babagian awak
ali,ali,cingcin,Pakean
baju,baju,raksukan,Pakean
bendo,bendo,udeng,Pakean
beubeur,beubeur,beulitan,Pakean
calana,calana,lancingan,Pakean
carecet,carecet,salempay,Pakean
gelung,gelung,sanggul,Pakean
geulang,geulang,pinggel,Pakean
iket,iket,totopong,Pakean
iteuk,iteuk,teteken,Pakean
karembong,karembong,kekemben,Pakean
keris,keris,duhung,Pakean
kongkorong,kongkorong,kangkalung,Pakean
panitih,panitih,sangketan,Pakean
payung,payung,pajeng,Pakean
sabuk,beubeur,beulitan,Pakean
samping,samping,sinjang,Pakean
sisir,sisir,pameres,Pakean
suweng,suweng,kurabu,Pakean
topi,topi,tudung,Pakean
wedak,wedak,pupur,Pakean
anggel,anggel,bantal,Nu di imah
cangkir,cangkir,tangkepan,Nu di imah
pacilingan,kakus,jamban,Nu di imah
dapur,dapur,pawon,Nu di imah
kamar,pamondokan,pangkuleman,Nu di imah
gardeng,gardeng,lalangse,Nu di imah
guguling,guguling,pepedek,Nu di imah
imah,rorompok,bumi,Nu di imah
kejo,sangu,sangu,Nu di imah
kamar mandi,jamban,jamban,Nu di imah
samak,amparan,amparan,Nu di imah
simbut,simbut,kampuh,Nu di imah
balur,balur,lulur,Kasehatan jeung nu karasa ku awak
batuk,batuk,gohgoy,Kasehatan jeung nu karasa ku awak
begang,begang,langsip,Kasehatan jeung nu karasa ku awak
bengek,asma,ampeg,Kasehatan jeung nu karasa ku awak
bisul,bisul,gambuh,Kasehatan jeung nu karasa ku awak
bolonan,udur sasih,kareseban,Kasehatan jeung nu karasa ku awak
cageur,pangestu,damang,Kasehatan jeung nu karasa ku awak
cangkeul,cangkeul,pegel,Kasehatan jeung nu karasa ku awak
cape,cape,palay,Kasehatan jeung nu karasa ku awak
gering,udur,teu damang,Kasehatan jeung nu karasa ku awak
kalenger,kapiuhan,kapidara,Kasehatan jeung nu karasa ku awak
kumbah,kumbah,wasuh,Kasehatan jeung nu karasa ku awak
lapar,hoyong neda,palay tuang,Kasehatan jeung nu karasa ku awak
mamayu,mamayu,mamajeng,Kasehatan jeung nu karasa ku awak
muriang,muriang,nyenyepan,Kasehatan jeung nu karasa ku awak
obat,obat,landong,Kasehatan jeung nu karasa ku awak
parna,repot,wales,Kasehatan jeung nu karasa ku awak
prihatin,prihatin,prihatos,Kasehatan jeung nu karasa ku awak
rieut,rieut,puyeng,Kasehatan jeung nu karasa ku awak
kasakit,kasakit,kasawat,Kasehatan jeung nu karasa ku awak
salesma,salesma,pileg,Kasehatan jeung nu karasa ku awak
seubeuh,wareg,wareg,Kasehatan jeung nu karasa ku awak
tunduh,tunduh,palay kulem,Kasehatan jeung nu karasa ku awak
ambek,ambek,bendu,Nu karasa ku hate
atoh,bingah,bingah,Nu karasa ku hate
bageur,bageur,sae manah,Nu karasa ku hate
bangga,sesah,sesah,Nu karasa ku hate
beuki,seneng,sedep,Nu karasa ku hate
bingung,bingung,ewed,Nu karasa ku hate
bungah,bingah,bingah,Nu karasa ku hate
daek,purun,kersa,Nu karasa ku hate
era,isin,lingsem,Nu karasa ku hate
geunah,raos,raos,Nu karasa ku hate
gimir,gimir,rentag manah,Nu karasa ku hate
karunya,watir,hawatos,Nu karasa ku hate
helok,heran,hemeng,Nu karasa ku hate
inggis,inggis,rempan,Nu karasa ku hate
ngeunah,ngeunah,raos,Nu karasa ku hate
rumasa,rumaos,rumaos,Nu karasa ku hate
karesep,karesep,kalangenan,Nu karasa ku hate
ripuh,repot,repot,Nu karasa ku hate
sadia,sayagi,sayagi,Nu karasa ku hate
hariwang,salempang,salempang,Nu karasa ku hate
sedih,sedih,sedih,Nu karasa ku hate
senang,senang,raos manah,Nu karasa ku hate
sono,sono,honeng,Nu karasa ku hate
wani,wantun,wantun,Nu karasa ku hate
ciduh,ciduh,ludah,Kaluar tina awak
cikiih,cikahampangan,cikahampangan,Kaluar tina awak
cipanon,cipanon,cisoca,Kaluar tina awak
kesang,karinget,karinget,Kaluar tina awak
tai,kokotor,kokotor,Kaluar tina awak
utah,utah,luga,Kaluar tina awak
antara,antara,antawis,Nuduhkeun tempat
beulah,palih,palih,Nuduhkeun tempat
deukeut,deukeut,caket,Nuduhkeun tempat
gigireun,gigireun,gedengeun,Nuduhkeun tempat
hareup,payun,payun,Nuduhkeun tempat
jauh,tebih,tebih,Nuduhkeun tempat
jero,lebet,lebet,Nuduhkeun tempat
katuhu,katuhu,tengen,Nuduhkeun tempat
kede,kenca,kiwa,Nuduhkeun tempat
palebah,leresan,leresan,Nuduhkeun tempat
pandeuri,ti pengker,ti pengker,Nuduhkeun tempat
tukang,pengker,pengker,Nuduhkeun tempat
bareto,kapungkur,kapungkur,Waktu
beurang,siang,siang,Waktu
bulan,sasih,sasih,Waktu
burit,sonten,sonten,Waktu
gancang,enggal,enggal,Waktu
geuwat,geuwat,enggal,Waktu
heubeul,heubeul,lami,Waktu
isuk,enjing,enjing,Waktu
isuk isuk,enjing enjing,enjing enjing,Waktu
karek,nembe,nembe,Waktu
sakapeung,sawaktos waktos,sawaktos waktos,Waktu
lila,lami,lami,Waktu
peuting,wengi,wengi,Waktu
mimitina,kawitna,awitna,Waktu
poe,dinten,dinten,Waktu
sakeudeung,sakedap,sakedap,Waktu
sore,sonten,sonten,Waktu
taun,taun,warsih,Waktu
tempo,sarantos,sarantos,Waktu
ngambeu,ngambeu,ngambung,Pagawean awak
diangir,dikuramas,dikujamas,Pagawean awak
rarasaan,raraosan,raraosan,Pagawean awak
ngaso,ngaso,leleson,Pagawean awak
mireungeuh,mireungeuh,ningali,Pagawean awak
ngising,miceun,kabeuratan,Pagawean awak
nyabak,nyabak,nyepeng,Pagawean awak
nyaneut,nyaneut,ngaleueut,Pagawean awak
ngomong,nyanggem,nyarios,Pagawean awak
cecewok,ombeh,ombeh,Pagawean awak
nyekel,nyekel,nyepeng,Pagawean awak
ceurik,ceurik,nangis,Pagawean awak
nyium,nyium,ngambung,Pagawean awak
nyokot,ngabantun,nyandak,Pagawean awak
dicukur,dicukur,diparas,Pagawean awak
dahar,neda,tuang,Pagawean awak
dangdan,dangdan,dangdos,Pagawean awak
ngadenge,nguping,ngadangu,Pagawean awak
diuk,diuk,calik,Pagawean awak
ngendong,ngendong,ngawengi,Pagawean awak
gegel,gegel,landep,Pagawean awak
ngageuing,ngageuing,ngemutan,Pagawean awak
heuay,heuay,angob,Pagawean awak
hitut,hitut,kabobosan,Pagawean awak
hudang,hudang,gugah,Pagawean awak
ngigel,ngigel,ngibing,Pagawean awak
ngilikan,ningalian,ningalian,Pagawean awak
impi,impen,impen,Pagawean awak
imut,imut,mesem,Pagawean awak
inum,inum,leueut,Pagawean awak
katara,katawis,katawis,Pagawean awak
ngedeng,ngedeng,ebog,Pagawean awak
ngelek,ngelek,ngadehe,Pagawean awak
kiih,kahampangan,kahampangan,Pagawean awak
labuh,labuh,geubis,Pagawean awak
ngalahun,ngalahun,mangkon,Pagawean awak
lalajo,nongton,nongton,Pagawean awak
diletak,diletak,diilat,Pagawean awak
malik,malik,mayun,Pagawean awak
mandi,mandi,siram,Pagawean awak
maot,maot,pupus,Pagawean awak
ngais,ngais,ngemban,Pagawean awak
ngising,kabeuratan,kabeuratan,Pagawean awak
nguluwut,nguluwut,ngangluh,Pagawean awak
nyaring,nyaring,gugah,Pagawean awak
make,nganggo,nganggo,Pagawean awak
mangku,mangku,mangkon,Pagawean awak
mencetan,meuseulan,meuseulan,Pagawean awak
ngaranyed,ngaranyed,ngalambangsari,Pagawean awak
reureuh,reureuh,ngaso,Pagawean awak
udud,ngaroko,nyesep,Pagawean awak
nyampak,nyampak,nyondong,Pagawean awak
sare,mondok,kulem,Pagawean awak
sasarap,neda,tuang,Pagawean awak
sebut,sebat,sebat,Pagawean awak
nyeupah,nyeupah,ngalemar,Pagawean awak
seuri,seuri,gumujeng,Pagawean awak
sibanyo,sibanyo,wawasuh,Pagawean awak
nyisig,nyisig,nyusur,Pagawean awak
teleg,teleg,telen,Pagawean awak
tembang,tembang,mamaos,Pagawean awak
tenjo,tingal,tingali,Pagawean awak
tunda,simpen,simpen,Pagawean awak
tincak,nincak,dampal,Pagawean awak
tunggu,antos,antos,Pagawean awak
ulin,ulin,ameng,Pagawean awak
abus,lebet,lebet,Lalampahan
amitan,permios,permios,Lalampahan
anteur,jajap,nyarengan,Lalampahan
ngarep ngarep,ngajeng ngajeng,ngajeng ngajeng,Lalampahan
badarat,badarat,nyacat,Lalampahan
balik,wangsul,mulih,Lalampahan
cicing,matuh,calik,Lalampahan
datang,dongkap,sumping,Lalampahan
ilu / ngilu,ngiring,ngiring,Lalampahan
indit / miang,mios,angkat,Lalampahan
ngajugjug,ngabujeng,ngabujeng,Lalampahan
kabur,minggat,lolos,Lalampahan
kari,kantun,kantun,Lalampahan
leumpang,leumpang,angkat,Lalampahan
maju,majeng,majeng,Lalampahan
matuh,matuh,linggih,Lalampahan
kapegat,kapegat,kaandeg,Lalampahan
permisi,permios,permios,Lalampahan
pindah,pindah,ngalih,Lalampahan
nyaba,nyanyabaan,angkat angkatan,Lalampahan
tumpak,tumpak,tunggang,Lalampahan
turun,turun,lungsur,Lalampahan
baca,aos,aos,"Atikan, gawe uteuk, jeung sasaura"
badami,badanten,badanten,"Atikan, gawe uteuk, jeung sasaura"
bebeja,wawartos,wawartos,"Atikan, gawe uteuk, jeung sasaura"
milang,ngetang,ngetang,"Atikan, gawe uteuk, jeung sasaura"
ngageroan,nyauran,ngagentraan,"Atikan, gawe uteuk, jeung sasaura"
cenah,cenah,saurna,"Atikan, gawe uteuk, jeung sasaura"
ngadidik,ngatik,mitutur,"Atikan, gawe uteuk, jeung sasaura"
inget,emut,emut,"Atikan, gawe uteuk, jeung sasaura"
harti,harti,hartos,"Atikan, gawe uteuk, jeung sasaura"
beja,wartos,wartos,"Atikan, gawe uteuk, jeung sasaura"
ngitung,ngitung,ngetang,"Atikan, gawe uteuk, jeung sasaura"
jawab,walon,waler,"Atikan, gawe uteuk, jeung sasaura"
nyangka,nginten,nginten,"Atikan, gawe uteuk, jeung sasaura"
kacaritakeun,kacarioskeun,kacarioskeun,"Atikan, gawe uteuk, jeung sasaura"
maca,maca,maos,"Atikan, gawe uteuk, jeung sasaura"
mapagahan,mapagahan,miwejang,"Atikan, gawe uteuk, jeung sasaura"
papatah,papatah,piwuruk,"Atikan, gawe uteuk, jeung sasaura"
ngajar,ngajar,ngawulang,"Atikan, gawe uteuk, jeung sasaura"
ngaku,ngaku,ngangken,"Atikan, gawe uteuk, jeung sasaura"
nyaho,terang,uninga,"Atikan, gawe uteuk, jeung sasaura"
nyana,nginten,nginten,"Atikan, gawe uteuk, jeung sasaura"
nyoba,nyobi,nyobi,"Atikan, gawe uteuk, jeung sasaura"
paham,ngartos,ngartos,"Atikan, gawe uteuk, jeung sasaura"
malire,malire,merhatoskeun,"Atikan, gawe uteuk, jeung sasaura"
dipaparah,dikinten kinten,dikinten kinten,"Atikan, gawe uteuk, jeung sasaura"
paribasa,paripaos,paripaos,"Atikan, gawe uteuk, jeung sasaura"
pikir,pikir,manah,"Atikan, gawe uteuk, jeung sasaura"
poho,hilap,lali,"Atikan, gawe uteuk, jeung sasaura"
rempug,rempug,rempag,"Atikan, gawe uteuk, jeung sasaura"
sasadu,tamada,tamada,"Atikan, gawe uteuk, jeung sasaura"
disalin,disalin,gentos,"Atikan, gawe uteuk, jeung sasaura"
tulis,tulis,serat,"Atikan, gawe uteuk, jeung sasaura"
bawa,bantun,candak,Mere jeung nyokot
mere,masihan,ngaleler,Mere jeung nyokot
meuli,meser,ngagaleuh,Mere jeung nyokot
mikeun,masihkeun,ngahaturkeun,Mere jeung nyokot
nyumponan,nyumponan,nyaosan,Mere jeung nyokot
dagang,dagang,icalan,Mere jeung nyokot
duit,artos,artos,Mere jeung nyokot
ganti,ganti,gentos,Mere jeung nyokot
harga,harga,pangaos,Mere jeung nyokot
tukeur,liron,liron,Mere jeung nyokot
hutang,hutang,sambetan,Mere jeung nyokot
nginjeum,nambut,nambut,Mere jeung nyokot
jual,ical,ical,Mere jeung nyokot
nohonan,nyumponan,nyaosan,Mere jeung nyokot
mihape,wiat,ngaweweratan,Mere jeung nyokot
nyelehkeun,masrahkeun,nyanggakeun,Mere jeung nyokot
tarima,tampi,tampi,Mere jeung nyokot
ngaji,ngaji,ngaos,Agama / ibada
buka,buka,bobor,Agama / ibada
bulan puasa,sasih siam,sasih siam,Agama / ibada
lebaran,boboran siam,boboran siam,Agama / ibada
puasa,puasa,saum,Agama / ibada
solat,sambeang,netepan,Agama / ibada
wudu,wudu,abdas,Agama / ibada
candung,candung,wayuh,Laki rabi
jima,sapatemon,sapatemon,Laki rabi
jinah,jinah,ngalambangsari,Laki rabi
ngajuru,ngalahirkeun,babar,Laki rabi
kawin,nikah,jatukrami,Laki rabi
kurenan,rimbitan,rimbitan,Laki rabi
nyolowedor,nyolowedor,midua manah,Laki rabi
popotongan,patilasan,patilasan,Laki rabi
rarabi,rarabi,garwaan,Laki rabi
reuneuh,kakandungan,bobot,Laki rabi
nyelewer,midua hate,midua manah,Laki rabi
nyerahkeun,mirak,mirak,Laki rabi
diondang,diondang,diulem,Kecap pagawean lainna
nganjang,ngadeuheus,natamu,Kecap pagawean lainna
ngadagoan,ngantosan,ngantosan,Kecap pagawean lainna
bagea,bagea,haturan,Kecap pagawean lainna
babantu,babantu,babantos,Kecap pagawean lainna
nyaram,nyaram,ngawagel,Kecap pagawean lainna
nyarekan,nyarekan,nyeuseulan,Kecap pagawean lainna
nyician,nyician,mairan,Kecap pagawean lainna
coba,cobi,cobi,Kecap pagawean lainna
dagoan,antosan,antosan,Kecap pagawean lainna
ngestukeun,ngestokeun,ngestokeun,Kecap pagawean lainna
ngeusian,ngalebetan,ngalebetan,Kecap pagawean lainna
gawe,gawe,damel,Kecap pagawean lainna
bagilir,bagilir,bagentos,Kecap pagawean lainna
gugu,nurut,tumut,Kecap pagawean lainna
digusar,digusar,dipeper,Kecap pagawean lainna
nungkulan,nungkulan,ngaluuhan,Kecap pagawean lainna
hampura,hapunten,hapunten,Kecap pagawean lainna
jaga,jaga,jagi,Kecap pagawean lainna
dikubur,dikaluat,dikurebkeun,Kecap pagawean lainna
kumpul,kempel,kempel,Kecap pagawean lainna
rempug,rempug,rempag,Kecap pagawean lainna
ngadu,ngadu,ngaben,Kecap pagawean lainna
ngurus,ngalereskeun,ngalereskeun,Kecap pagawean lainna
ngogan,ngondang,ngulem,Kecap pagawean lainna
ngomean,ngalereskeun,ngalereskeun,Kecap pagawean lainna
dipalar,dipalar,dipamrih,Kecap pagawean lainna
mandean,mandean,mapadani,Kecap pagawean lainna
manggih,mendak,mendak,Kecap pagawean lainna
marak,marak,munday,Kecap pagawean lainna
mariksa,mariksa,marios,Kecap pagawean lainna
piligenti,piligentos,piligentos,Kecap pagawean lainna
kapilih,kapilih,kaselir,Kecap pagawean lainna
raksa,raksa,tangtayungan,Kecap pagawean lainna
rampes,mangga,mangga,Kecap pagawean lainna
kasanding,kasanding,kasumpingan,Kecap pagawean lainna
neang,milari,milari,Kecap pagawean lainna
tepung,tepang,tepang,Kecap pagawean lainna
titah,nitah,ngajurung,Kecap pagawean lainna
turut,turut,tumut,Kecap pagawean lainna
beak,seep,seep,Ukuran jeung kumpulan
